year,region,trq_value,total_value,trq_share
2022,North America,6008.0,35591.49333333333,0.16880438097193262
2022,Oceania,74.1,74.1,1.0
2022,South America,109088.75897435898,318023.3078945372,0.3430212700338774
2022,South Asia,28602.0,654996.1333333333,0.04366743335482286
2022,Southeast Asia,14347.34,442417.21027941175,0.032429434630128505
2022,West Africa,0.0,22320.0,0.0
2022,Western Europe,219.15833333333333,6356.302777777778,0.03447890086349113
2023,Central America and the Caribbean,18804.9,188208.02855120317,0.0999155038430468
2023,Central Asia,0.0,29657.47727277665,0.0
2023,East Africa,3763.0,79464.25,0.04735462802455192
2023,East Asia,2950.0,68327.80019607766,0.04317422764284081
2023,East Asia ,74798.3,147847.72121212122,0.5059144597344507
2023,Eastern Europe,3686.0,124762.77750004934,0.02954406814162615
2023,Middle Africa,0.0,54.0,0.0
2023,Middle East,17105.30909095571,17105.30909095571,1.0
2023,North Africa,102.0,62173.8125,0.0016405620935663226
2023,North America,6005.8,32893.729166666664,0.1825819130926044
2023,Oceania,0.0,0.0,0.0
2023,South America,93541.24102564102,251782.89058303687,0.3715154783116271
2023,South Asia,4971.5,244470.10833333334,0.020335819515494277
2023,Southeast Asia,13549.91,339076.7800147059,0.039961185190600004
2023,Western Europe,137.98333333333332,3694.3722222222223,0.03734960232305293
2024,Central America and the Caribbean,17850.233333333334,179924.92285263175,0.09920934270986817
2024,Central Asia,0.0,26672.049999960625,0.0
2024,East Africa,3479.0,78159.0,0.044511828452257575
2024,East Asia,2950.0,61378.28068627433,0.048062604019139483
2024,East Asia ,42580.2,86460.10303030303,0.4924837989734554
2024,Eastern Europe,3686.0,18449.768181778843,0.19978570807411697
2024,Middle Africa,0.0,45.0,0.0
2024,Middle East,13566.954545417126,13566.954545417126,1.0
2024,North Africa,102.0,56794.0,0.0017959643624326513
2024,North America,5275.5,19456.965,0.2711368396869707
2024,South America,80211.18974358974,188512.52333883982,0.42549528446667173
2024,South Asia,4943.5,243312.00833333333,0.020317533992105678
2024,Southeast Asia,2582.43,295714.777,0.008732840564135893
2024,Western Europe,65.375,1957.2583333333334,0.03340131391274359
2025,Central America and the Caribbean,14348.866666666667,150690.7034345365,0.09522064957975424
2025,Central Asia,0.0,23774.35,0.0
2025,East Africa,3190.0,76758.75,0.04155877994365463
2025,East Asia,2950.0,51361.211176468,0.057436340234741035
2025,East Asia ,24158.85,55739.318181818184,0.4334256461694658
2025,Eastern Europe,1441.0,12573.386363636364,0.11460715183043549
2025,Middle Africa,0.0,36.0,0.0
2025,Middle East,10028.6,10028.6,1.0
2025,North Africa,102.0,53476.5,0.0019073798771422961
2025,North America,1570.0,14298.5225,0.10980155467112075
2025,South America,68447.97179487179,146867.52527400703,0.4660524623613705
2025,South Asia,4922.5,242183.70833333334,0.02032547950428127
2025,Southeast Asia,2565.0,241226.57666666666,0.01063315674186425
2025,Western Europe,21.0,301.0,0.06976744186046512
