year,sector,trq_value,total_value,trq_share
2000,Footwear / Headgear,0.0,1800.0,0.0
2000,Machinery / Electrical,0.0,3817.25,0.0
2000,Metals,0.0,4513.85,0.0
2000,Mineral Products,0.0,267.5,0.0
2000,Miscellaneous,0.0,1785.0,0.0
2000,Plastics / Rubbers,0.0,3979.25,0.0
2000,"Raw Hides, Skins, Leather, & Furs",0.0,835.0,0.0
2000,Stone / Glass,0.0,2152.35,0.0
2000,Textiles,0.0,47647.75,0.0
2000,Transportation,0.0,2311.0,0.0
2000,Vegetable Products,0.0,954.9,0.0
2000,Wood & Wood Products,0.0,1889.0,0.0
2001,Chemicals & Allied Industries,179.1,9204.2,0.019458508072401726
2001,Foodstuffs,2094.2,33797.7,0.061962796284954304
2001,Footwear / Headgear,0.0,3935.1,0.0
2001,Machinery / Electrical,100.0,8593.0,0.011637379262190155
2001,Metals,0.0,11295.2,0.0
2001,Mineral Products,0.0,1270.1,0.0
2001,Miscellaneous,515.0,4664.3,0.11041313809146067
2001,Plastics / Rubbers,685.0,8175.9,0.08378282513240133
2001,"Raw Hides, Skins, Leather, & Furs",0.0,2596.0,0.0
2001,Stone / Glass,60.0,8752.7,0.006855027591486055
2001,Textiles,8309.375,72888.375,0.11400137539079448
2001,Transportation,105.0,3797.1,0.027652682310184088
2001,Vegetable Products,337.0,6050.5,0.0556978762085778
2001,Wood & Wood Products,10.0,3217.7,0.003107809926344905
2002,Chemicals & Allied Industries,179.1,8892.25,0.02014113413365571
2002,Foodstuffs,1994.2,33424.6,0.059662643681599785
2002,Footwear / Headgear,0.0,3675.2,0.0
2002,Machinery / Electrical,75.0,7981.25,0.009397024275646046
2002,Metals,0.0,10859.15,0.0
2002,Mineral Products,0.0,1128.7,0.0
2002,Miscellaneous,515.0,4461.6,0.11542944235251927
2002,Plastics / Rubbers,685.0,7852.05,0.0872383645035373
2002,"Raw Hides, Skins, Leather, & Furs",0.0,2396.0,0.0
2002,Stone / Glass,60.0,8347.65,0.007187651614526244
2002,Textiles,5563.25,65449.0,0.08500129872114165
2002,Transportation,105.0,3529.2,0.029751785107106427
2002,Vegetable Products,337.0,5959.4,0.056549317045340136
2002,Wood & Wood Products,10.0,2936.4,0.003405530581664623
2003,Chemicals & Allied Industries,179.1,59488.04,0.0030106892074440506
2003,Foodstuffs,1992.55,75847.2,0.026270580852028817
2003,Footwear / Headgear,0.0,9361.1,0.0
2003,Machinery / Electrical,50.0,68866.12,0.0007260464216656899
2003,Metals,0.0,122342.05,0.0
2003,Mineral Products,0.0,15115.95,0.0
2003,Miscellaneous,515.0,45344.3,0.011357546593507893
2003,Plastics / Rubbers,685.0,30035.65,0.022806231927725885
2003,"Raw Hides, Skins, Leather, & Furs",0.0,8118.5,0.0
2003,Stone / Glass,60.0,30238.7,0.001984212284258252
2003,Textiles,2817.125,107370.475,0.02623742700216237
2003,Transportation,105.0,26674.3,0.003936373213167731
2003,Vegetable Products,337.0,22675.062,0.014862142383557759
2003,Wood & Wood Products,10.0,19542.87,0.0005116955697909263
2004,Chemicals & Allied Industries,29050.81,173213.425,0.16771684989197577
2004,Foodstuffs,72798.51,174634.49,0.41686215592349485
2004,Footwear / Headgear,4331.4,18191.3,0.23810282937448118
2004,Machinery / Electrical,33037.4,125235.45,0.26380230198398297
2004,Metals,28329.05,115287.32,0.24572563574207465
2004,Mineral Products,3980.95,16419.5,0.24245257163738237
2004,Miscellaneous,19086.7,73811.32,0.2585877071430236
2004,Plastics / Rubbers,16051.03,60839.95,0.2638238525837053
2004,"Raw Hides, Skins, Leather, & Furs",2961.1,15528.6,0.19068686166170806
2004,Stone / Glass,11531.6,46535.06,0.24780455854145242
2004,Textiles,48128.42,188117.33,0.2558425637871854
2004,Transportation,17303.25,49750.44,0.3478009440720524
2004,Unknown,0.0,52.0,0.0
2004,Vegetable Products,4666.6,43878.65466666667,0.10635239469967342
2004,Wood & Wood Products,10750.85,40297.36,0.2667879483916564
2005,Chemicals & Allied Industries,60601.49333333333,148070.99833333332,0.40927321363032165
2005,Foodstuffs,119528.80272186147,195175.19272186147,0.6124180079186524
2005,Footwear / Headgear,10923.8,18204.3,0.6000670171333147
2005,Machinery / Electrical,55959.63333335,96735.02333335,0.5784836908604701
2005,Metals,57158.28712121212,106635.58712121213,0.5360151208830555
2005,Mineral Products,5604.5,13921.05,0.40259175852396195
2005,Miscellaneous,40873.3,68107.8,0.6001265640646152
2005,Plastics / Rubbers,31635.7,60546.68,0.5225009860160789
2005,"Raw Hides, Skins, Leather, & Furs",12730.4875,18828.6375,0.6761236706585911
2005,Stone / Glass,27908.511666666665,48465.551666666666,0.5758422365356342
2005,Textiles,75976.7,160916.23,0.47215063390436124
2005,Transportation,24312.790476177142,46073.53047617714,0.5276954082941041
2005,Unknown,52.0,52.0,1.0
2005,Vegetable Products,18272.679545454546,47778.35621212121,0.3824468021530391
2005,Wood & Wood Products,20352.575,37975.525,0.535939266145761
2006,Chemicals & Allied Industries,2710715.0433333335,2815790.1033333335,0.9626836318958533
2006,Foodstuffs,703401.8383008658,817613.8983008658,0.8603105203600977
2006,Footwear / Headgear,165999.35,174211.75,0.9528596664691101
2006,Machinery / Electrical,1885827.5750000044,1940172.8650000044,0.9719894598154789
2006,Metals,1676345.565909091,1741663.675909091,0.9624967145474248
2006,Mineral Products,529776.95,538510.475,0.9837820703487707
2006,Miscellaneous,1251276.75,1284064.19,0.9744658870986816
